"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,,
7/2022 - 9/2022,,1885.8,1898.5,3784.2,-2.0,-2.6,-2.3,65.0,53.4,58.6,92.2,63.1,155.3,4.9,3.3,4.1,3.9,1793.6,1835.3,3628.9,41.7,27.3,69.0,2.2,1.4,1.8
8/2022 - 10/2022,,1891.7,1904.3,3796.0,-1.7,-2.1,-1.9,65.0,53.3,58.6,88.6,58.8,147.4,4.7,3.1,3.9,3.8,1803.2,1845.5,3648.6,40.5,22.8,63.4,2.1,1.2,1.7
9/2022 - 11/2022,,1889.8,1905.9,3795.7,-1.6,-1.8,-1.7,64.8,53.2,58.4,83.1,55.6,138.7,4.4,2.9,3.7,3.7,1806.7,1850.3,3657.0,37.9,21.8,59.7,2.0,1.1,1.6
10/2022 - 12/2022,,1882.7,1908.6,3791.3,-1.7,-1.4,-1.5,64.5,53.2,58.3,75.2,50.8,126.0,4.0,2.7,3.3,3.5,1807.5,1857.8,3665.3,34.7,20.5,55.3,1.8,1.1,1.5
11/2022 - 1/2023,,1882.3,1898.2,3780.6,-1.3,-1.7,-1.5,64.5,52.9,58.1,70.2,48.2,118.4,3.7,2.5,3.1,3.4,1812.1,1850.1,3662.2,34.2,17.9,52.1,1.8,0.9,1.4
12/2022 - 2/2023,,1871.9 p,1894.1 p,3766.0 p,-1.5 p,-1.6 p,-1.6 p,64.2 p,52.8 p,57.9 p,69.6 p,46.1 p,115.7 p,3.7 p,2.4 p,3.1 p,3.3 p,1802.3 p,1848.0 p,3650.2 p,33.2 p,14.6 p,47.9 p,1.8 p,0.8 p,1.3 p
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of persons are rounded to the nearest hundred.Figures in the table may not add up to the total due to rounding.For annual estimates less than 1 000 and quarterly estimates less than 3 000, they should be interpreted with caution due to relatively large sampling error.Starting from 2001, annual figures are compiled based on data collected in the General Household Survey from January to December of the year concerned as well as the mid-year population estimates.",,,,,,,,,,,,,,,,,,,,,,,,,,
1 Labour force refers to the land-based non-institutional population aged 15 and over who satisfy the criteria for being classified as employed persons or unemployed persons. Inmates of institutions and persons living on board vessels are excluded.,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Labour force participation rate refers to the proportion of labour force in the total land-based non-institutional population aged 15 and over.,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Unemployed persons refer to those persons aged 15 and over who fulfil the following conditions :(a) have not had a job and should not have performed any work for pay or profit during the 7 days before enumeration;(b) have been available for work during the 7 days before enumeration; and(c) have sought work during the 30 days before enumeration.However, if a person aged 15 or over fulfils the conditions (a) and (b) above but has not sought work during the 30 days before enumeration because he/she believes that work is not available, he/she is still classified as unemployed, being regarded as a so-called ""discouraged worker"".Notwithstanding the above, the following types of persons are also classified as unemployed :(a) persons without a job, have sought work but have not been available for work because of temporary sickness; and(b) persons without a job, have been available for work but have not sought work because they :(i) have made arrangements to take up a new job or to start business on a subsequent date; or(ii) were expecting to return to their original jobs. Unemployed persons with a previous job by previous industry do not include first-time job-seekers and re-entrants into the labour force who were unemployed as information on previous industry of these persons is not available.",,,,,,,,,,,,,,,,,,,,,,,,,,
4 Unemployment rate refers to the proportion of unemployed persons in the labour force.,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Unemployment rate (seasonally adjusted) refers to the unemployment rate adjusted for seasonal variations. Starting from May 2008, the seasonally adjusted unemployment rate is compiled by the X-12 ARIMA method to replace the previous X-11 ARIMA method. The seasonally adjusted unemployment rates since November 2006 - January 2007 have also been revised using the new method. Figures prior to November 2006 – January 2007 refer to the seasonally adjusted unemployment rates based on the X-11 ARIMA method. Seasonal adjustment is not applicable to annual average unemployment rates.",,,,,,,,,,,,,,,,,,,,,,,,,,
6 Employed persons refer to those persons aged 15 and over who have been at work for pay or profit during the 7 days before enumeration or who have had formal job attachment. Unpaid family workers and persons who were on leave/holiday during the 7 days before enumeration are included.,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 Underemployed persons refer to those who have involuntarily worked less than 35 hours during the 7 days before enumeration and have sought additional work during the 30 days before enumeration, or have not sought additional work but have been available for additional work during the 7 days before enumeration. Following this definition, employed persons taking no-pay leave due to slack work during the 7 days before enumeration are also classified as underemployed if they worked less than 35 hours during the 7-day period or were on leave for the whole 7-day period.",,,,,,,,,,,,,,,,,,,,,,,,,,
8 Underemployment rate refers to the proportion of underemployed persons in the labour force.,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A. Not available,,,,,,,,,,,,,,,,,,,,,,,,,,
[§3] Increase or decrease of less than 0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,
p Provisional figure,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 3 April, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,
